image,MOS,set
night301.png,62.1582,training
night498.png,62.1582,training
night473.png,62.1582,training
night64.png,62.1582,training
night398.png,62.1582,training
night282.png,62.1582,training
night220.png,62.1582,training
night278.png,62.1582,training
night387.png,62.1582,training
night76.png,62.1582,training
night201.png,62.1582,training
night464.png,62.1582,training
night382.png,62.1582,training
night174.png,62.1582,training
night23.png,62.1582,training
night490.png,62.1582,training
night467.png,62.1582,training
night283.png,62.1582,training
night272.png,62.1582,training
night355.png,62.1582,training
night226.png,62.1582,training
night302.png,62.1582,training
night142.png,62.1582,training
night371.png,62.1582,training
night430.png,62.1582,training
night70.png,62.1582,training
night121.png,62.1582,training
night462.png,62.1582,training
night281.png,62.1582,training
night214.png,62.1582,training
night25.png,62.1582,training
night486.png,62.1582,training
night18.png,62.1582,training
night323.png,62.1582,training
night203.png,62.1582,training
night185.png,62.1582,training
night362.png,62.1582,training
night163.png,62.1582,training
night123.png,62.1582,training
night19.png,62.1582,training
night391.png,62.1582,training
night276.png,62.1582,training
night279.png,62.1582,training
night124.png,62.1582,training
night343.png,62.1582,training
night61.png,62.1582,training
night50.png,62.1582,training
night429.png,62.1582,training
night58.png,62.1582,training
night162.png,62.1582,training
night365.png,62.1582,training
night7.png,62.1582,training
night80.png,62.1582,training
night42.png,62.1582,training
night339.png,62.1582,training
night427.png,62.1582,training
night290.png,62.1582,training
night59.png,62.1582,training
night275.png,62.1582,training
night119.png,62.1582,training
night434.png,62.1582,training
night310.png,62.1582,training
night73.png,62.1582,training
night138.png,62.1582,training
night375.png,62.1582,training
night145.png,62.1582,training
night96.png,62.1582,training
night436.png,62.1582,training
night170.png,62.1582,training
night180.png,62.1582,training
night79.png,62.1582,training
night338.png,62.1582,training
night199.png,62.1582,training
night416.png,62.1582,training
night88.png,62.1582,training
night168.png,62.1582,training
night186.png,62.1582,training
night98.png,62.1582,training
night298.png,62.1582,training
night90.png,62.1582,training
night126.png,62.1582,training
night315.png,62.1582,training
night152.png,62.1582,training
night479.png,62.1582,training
night62.png,62.1582,training
night105.png,62.1582,training
night260.png,62.1582,training
night51.png,62.1582,training
night91.png,62.1582,training
night32.png,62.1582,training
night242.png,62.1582,training
night268.png,62.1582,training
night358.png,62.1582,training
night110.png,62.1582,training
night118.png,62.1582,training
night497.png,62.1582,training
night368.png,62.1582,training
night150.png,62.1582,training
night184.png,62.1582,training
night475.png,62.1582,training
night173.png,62.1582,training
night306.png,62.1582,training
night122.png,62.1582,training
night209.png,62.1582,training
night333.png,62.1582,training
night389.png,62.1582,training
night325.png,62.1582,training
night216.png,62.1582,training
night367.png,62.1582,training
